treated,y,age,income,church.attendance,group.membership,married,set
1,TRUE,38,4 Very high,TRUE,1,TRUE,train
1,TRUE,30,2 Low,TRUE,0.27272728085517883,TRUE,test
1,TRUE,55,3 High,FALSE,0.7272727489471436,TRUE,test
1,TRUE,55,2 Low,FALSE,1.2727272510528564,TRUE,test
1,TRUE,40,2 Low,TRUE,0.9090909361839294,TRUE,train
1,TRUE,38,2 Low,TRUE,1.454545497894287,TRUE,test
1,TRUE,35,4 Very high,TRUE,0.27272728085517883,FALSE,test
1,TRUE,30,4 Very high,TRUE,0.1818181872367859,TRUE,train
1,FALSE,40,3 High,TRUE,0.7272727489471436,FALSE,test
1,TRUE,32,4 Very high,TRUE,0.3636363744735718,FALSE,test
1,FALSE,35,4 Very high,TRUE,0.4545454680919647,TRUE,train
1,FALSE,23,5 Missing,TRUE,0.09090909361839294,FALSE,train
1,FALSE,24,2 Low,TRUE,0.09090909361839294,TRUE,train
1,TRUE,18,4 Very high,TRUE,0.5454545617103577,FALSE,train
1,FALSE,18,2 Low,FALSE,0.09090909361839294,FALSE,train
1,TRUE,30,4 Very high,FALSE,0.7272727489471436,TRUE,test
1,FALSE,32,2 Low,TRUE,0.27272728085517883,TRUE,test
1,TRUE,32,4 Very high,TRUE,1.1818181276321411,TRUE,test
1,TRUE,29,3 High,TRUE,0.9090909361839294,FALSE,test
1,TRUE,25,3 High,TRUE,0.5454545617103577,FALSE,train
1,FALSE,37,4 Very high,FALSE,0.4545454680919647,FALSE,test
1,TRUE,25,5 Missing,TRUE,0.5454545617103577,FALSE,test
1,TRUE,55,4 Very high,FALSE,0.4545454680919647,TRUE,train
1,TRUE,26,4 Very high,TRUE,0.3636363744735718,TRUE,train
1,TRUE,33,3 High,FALSE,0.3636363744735718,FALSE,test
1,TRUE,27,1 Very low,TRUE,0.1818181872367859,FALSE,train
1,TRUE,23,4 Very high,TRUE,0.4545454680919647,FALSE,test
1,TRUE,26,1 Very low,TRUE,0.8181818127632141,FALSE,test
1,TRUE,32,2 Low,FALSE,0.7272727489471436,FALSE,test
1,FALSE,22,5 Missing,TRUE,0.27272728085517883,FALSE,test
1,TRUE,35,1 Very low,TRUE,0.4545454680919647,TRUE,train
1,TRUE,19,1 Very low,TRUE,0.1818181872367859,TRUE,train
1,TRUE,18,5 Missing,TRUE,0.09090909361839294,FALSE,train
1,TRUE,31,2 Low,TRUE,0.5454545617103577,TRUE,train
1,TRUE,35,2 Low,TRUE,0.4545454680919647,TRUE,test
1,FALSE,40,5 Missing,FALSE,0.5454545617103577,TRUE,test
1,FALSE,32,5 Missing,TRUE,0.6363636255264282,FALSE,train
1,TRUE,20,1 Very low,TRUE,0.5454545617103577,FALSE,train
1,TRUE,19,3 High,FALSE,0.5454545617103577,FALSE,test
1,FALSE,21,5 Missing,TRUE,0.3636363744735718,FALSE,test
1,TRUE,25,5 Missing,TRUE,0.4545454680919647,FALSE,test
1,TRUE,40,5 Missing,FALSE,0.9090909361839294,FALSE,test
1,TRUE,37,4 Very high,TRUE,0.5454545617103577,TRUE,train
1,TRUE,36,5 Missing,TRUE,0.3636363744735718,TRUE,train
1,TRUE,20,1 Very low,FALSE,0.3636363744735718,FALSE,test
1,TRUE,29,2 Low,TRUE,0.1818181872367859,TRUE,test
1,TRUE,42,3 High,FALSE,1.6363636255264282,TRUE,train
1,TRUE,31,5 Missing,FALSE,0.8181818127632141,TRUE,test
1,TRUE,18,5 Missing,FALSE,0.3636363744735718,TRUE,test
1,FALSE,32,1 Very low,FALSE,0.3636363744735718,TRUE,test
1,TRUE,63,2 Low,FALSE,0.3636363744735718,TRUE,test
1,TRUE,26,4 Very high,TRUE,0.4545454680919647,FALSE,train
1,FALSE,33,1 Very low,TRUE,0.4545454680919647,TRUE,train
1,TRUE,28,5 Missing,FALSE,0.1818181872367859,FALSE,train
1,FALSE,21,2 Low,TRUE,0.5454545617103577,FALSE,train
1,TRUE,30,1 Very low,FALSE,0.7272727489471436,TRUE,train
1,TRUE,45,2 Low,FALSE,0.4545454680919647,FALSE,test
1,TRUE,56,2 Low,FALSE,0.1818181872367859,TRUE,test
1,TRUE,32,2 Low,TRUE,0.5454545617103577,FALSE,train
1,TRUE,39,2 Low,TRUE,1.2727272510528564,TRUE,test
1,TRUE,40,4 Very high,TRUE,1.2727272510528564,TRUE,test
1,TRUE,27,2 Low,TRUE,0.1818181872367859,TRUE,test
1,TRUE,48,3 High,FALSE,0.8181818127632141,TRUE,test
1,TRUE,48,1 Very low,FALSE,0.9090909361839294,TRUE,test
1,FALSE,46,2 Low,FALSE,0.9090909361839294,FALSE,test
1,FALSE,58,2 Low,FALSE,1.454545497894287,FALSE,train
1,FALSE,63,4 Very high,TRUE,1.0909091234207153,FALSE,test
1,TRUE,25,4 Very high,TRUE,1.1818181276321411,TRUE,train
1,TRUE,28,4 Very high,FALSE,0.6363636255264282,FALSE,train
1,FALSE,24,2 Low,TRUE,0.1818181872367859,TRUE,train
1,TRUE,25,2 Low,TRUE,0.3636363744735718,TRUE,test
1,FALSE,35,1 Very low,FALSE,0.3636363744735718,TRUE,train
1,TRUE,55,3 High,FALSE,0.3636363744735718,TRUE,test
1,FALSE,25,2 Low,TRUE,0.3636363744735718,FALSE,train
1,FALSE,34,2 Low,FALSE,1.0909091234207153,TRUE,test
1,FALSE,24,5 Missing,TRUE,0.1818181872367859,FALSE,train
1,TRUE,27,4 Very high,TRUE,0.1818181872367859,FALSE,train
1,TRUE,25,4 Very high,TRUE,0.3636363744735718,FALSE,test
1,FALSE,26,1 Very low,TRUE,0.3636363744735718,FALSE,test
1,TRUE,19,2 Low,TRUE,0.1818181872367859,FALSE,train
1,FALSE,55,5 Missing,TRUE,0.27272728085517883,TRUE,train
1,FALSE,22,1 Very low,TRUE,0.3636363744735718,TRUE,test
1,TRUE,33,1 Very low,FALSE,0.3636363744735718,FALSE,train
1,TRUE,39,3 High,FALSE,0.09090909361839294,TRUE,train
1,TRUE,21,3 High,FALSE,0.1818181872367859,FALSE,test
1,FALSE,18,1 Very low,FALSE,0.09090909361839294,TRUE,test
1,TRUE,34,2 Low,FALSE,0.5454545617103577,FALSE,train
1,TRUE,20,2 Low,FALSE,0.1818181872367859,FALSE,test
1,TRUE,23,2 Low,FALSE,0.09090909361839294,FALSE,train
1,TRUE,55,1 Very low,FALSE,0.5454545617103577,TRUE,train
1,TRUE,23,1 Very low,TRUE,0.4545454680919647,TRUE,test
1,TRUE,25,5 Missing,TRUE,0.8181818127632141,TRUE,train
1,TRUE,50,1 Very low,FALSE,0.3636363744735718,TRUE,train
1,TRUE,45,1 Very low,FALSE,0.4545454680919647,TRUE,train
1,FALSE,25,2 Low,TRUE,0.6363636255264282,FALSE,test
1,TRUE,46,1 Very low,TRUE,1.1818181276321411,TRUE,test
1,TRUE,58,2 Low,FALSE,0.3636363744735718,TRUE,train
1,FALSE,57,2 Low,FALSE,0.1818181872367859,TRUE,train
1,TRUE,37,2 Low,TRUE,0.27272728085517883,TRUE,test
1,FALSE,18,2 Low,TRUE,0.1818181872367859,FALSE,train
1,TRUE,23,1 Very low,TRUE,0.1818181872367859,FALSE,train
1,TRUE,30,1 Very low,TRUE,0.1818181872367859,TRUE,train
