r,L,A,Y
1,0,1,0.05641121919243597
1,0,2,1.8372021042778444
1,0,3,-0.70120466241907
1,0,3,-0.32788278675601845
1,0,3,-0.3876379618809306
1,0,3,-2.1976540378435665
1,0,3,-0.9268521443692707
1,0,3,-1.6606514567858217
1,0,3,-3.001846639254124
1,0,3,-0.31676304122569243
1,0,1,-0.8228904960564354
1,0,2,-0.44959764239575334
1,0,3,-0.8463487770209402
1,0,3,-2.165394237800906
1,0,3,-0.4875113538460556
1,0,3,-2.4115841244206115
1,0,3,0.11359076991245676
1,0,3,-0.8336162091591163
1,0,3,-2.8466159356550538
1,0,3,-0.2655900686815983
1,0,1,-0.44444678002925664
1,0,2,0.5993689120925965
1,0,3,0.15015439054565372
1,0,3,-1.5291402589936085
1,0,3,-0.7290140353931025
1,0,3,-0.5583592337910193
1,0,3,-0.5241733051547584
1,0,3,-1.1373567935960298
1,0,3,-1.9518739694829872
1,0,3,-2.00480695694735
1,0,1,-1.6643964360471553
1,0,2,0.6788206365909772
1,0,3,-2.038147459035011
1,0,3,-1.2357045886306728
1,0,3,-0.30428128529645115
1,0,3,-1.0977167638258791
1,0,3,-1.38591396356238
1,0,3,-1.0144797024407775
1,0,3,-1.6729294773972658
1,0,3,-0.9280599811694054
1,0,1,-0.6873923580867559
1,0,2,-0.3155964319095221
1,0,3,-1.900167058841777
1,0,3,-1.616225409659046
1,0,3,-3.0810893966127715
1,0,3,0.5606594687345945
1,0,3,0.5649397244155097
1,0,3,-2.472359054127379
1,0,3,-0.590080884568
1,0,3,-2.1444291682112606
1,1,1,1.8164362017431994
1,1,1,0.911479081243442
1,1,1,0.36118876906459985
1,1,1,-0.26446579727375097
1,1,1,1.3301812259023327
1,1,1,1.6989060227746877
1,1,1,1.019011095197247
1,1,1,1.1414725991435084
1,1,2,-1.147616477892374
1,1,3,0.4486761771755904
1,1,1,-0.39877944891752404
1,1,1,1.5975987886156264
1,1,1,1.5432346519186724
1,1,1,0.7748544917494351
1,1,1,0.5499783293549494
1,1,1,1.193875588496275
1,1,1,0.9087623353585571
1,1,1,1.4361961388360234
1,1,2,-1.448520444367228
1,1,3,0.5732091275312883
1,1,1,1.8738273957514697
1,1,1,0.774374678922109
1,1,1,1.312077625938063
1,1,1,1.7403471969164483
1,1,1,2.2778446502476735
1,1,1,-0.375380208700659
1,1,1,0.446255183773165
1,1,1,-2.0584759043153085
1,1,2,0.3395975650770056
1,1,3,0.23606478719984159
1,1,1,1.5252960488927698
1,1,1,1.3027604063284195
1,1,1,2.0605187516738868
1,1,1,2.571620765015043
1,1,1,-1.4967444557581366
1,1,1,1.34707610629497
1,1,1,1.2942287422103695
1,1,1,1.1746538023509585
1,1,2,-0.6102630567514108
1,1,3,0.7133410499638986
1,1,1,1.1412971252878312
1,1,1,0.4780412145770071
1,1,1,1.495949531776787
1,1,1,0.2669755478703981
1,1,1,1.711757865071615
1,1,1,2.733247369739357
1,1,1,1.1532431489614565
1,1,1,3.6380559581327274
1,1,2,-0.926736648307866
1,1,3,2.8722239688699496
2,0,1,-0.5104325346229195
2,0,2,0.8063515207067625
2,0,3,0.4879101126966381
2,0,3,0.1408179883463514
2,0,3,-1.5842203241270054
2,0,3,-1.9985093543516141
2,0,3,0.21865261005150272
2,0,3,-0.44431315995288145
2,0,3,0.7694967190684192
2,0,3,-1.8293636303730647
2,0,1,-1.5931089462769654
2,0,2,-0.03598617567895158
2,0,3,-1.6265247858793552
2,0,3,-0.20917266914411325
2,0,3,-2.395784494320917
2,0,3,-3.6063973491607406
2,0,3,-1.3371466766862268
2,0,3,0.018334802951446738
2,0,3,-1.6430316170431125
2,0,3,-1.430207975082527
2,0,1,-1.6199784514622269
2,0,2,1.7464771465712838
2,0,3,0.017401710637426016
2,0,3,0.31468559550227626
2,0,3,-0.06308454221648008
2,0,3,-2.3317544337810308
2,0,3,-1.8886560341273515
2,0,3,-1.1562732297446583
2,0,3,-1.337292544051232
2,0,3,0.3561314274982337
2,0,1,-1.3272064839345212
2,0,2,0.6237400233657646
2,0,3,-1.444669953969763
2,0,3,-0.1459273486262891
2,0,3,-1.3221254751852687
2,0,3,0.27914563192479713
2,0,3,-1.70878430955395
2,0,3,-2.1968898176582563
2,0,3,-1.2738837364989946
2,0,3,0.6783168760364744
2,0,1,-1.1666729958806092
2,0,2,2.812969554834517
2,0,3,0.062440065228327235
2,0,3,-0.867130718618955
2,0,3,-1.4161372570827582
2,0,3,-0.7779864339440283
2,0,3,-1.015321452456039
2,0,3,-0.7021800096957995
2,0,3,-0.4328789594104191
2,0,3,-1.0201419543773491
2,1,1,0.40430809617069563
2,1,1,0.4470652444769231
2,1,1,1.747797428273264
2,1,1,0.6318424178759544
2,1,1,2.5287686608600866
2,1,1,0.8973347203253361
2,1,1,0.416235496376104
2,1,1,0.7027594442298571
2,1,2,-0.08070318720365471
2,1,3,1.3411978320169013
2,1,1,0.1225218204204166
2,1,1,2.7434222102465586
2,1,1,-0.033834091988672155
2,1,1,0.023672014322999035
2,1,1,0.9305761523533902
2,1,1,2.665903024279367
2,1,1,1.8536925114844263
2,1,1,3.8268705730170716
2,1,2,0.7983700422881753
2,1,3,1.449220086000321
2,1,1,2.0738027393973217
2,1,1,1.8287902646953442
2,1,1,2.803376287355034
2,1,1,1.1087892871645857
2,1,1,0.8806329396213005
